Date,Open,High,Low,Close,Volume
2024-01-25,194.055,195.095,191.96,193.011,55151271
2024-01-26,193.11,193.598,190.794,191.272,44861748
2024-01-29,190.864,191.053,188.448,190.586,47428678
2024-01-30,189.801,190.656,186.351,186.917,56194742
2024-01-31,185.924,185.979,183.25,183.299,55800824
2024-02-01,182.888,185.834,182.723,185.745,65274972
2024-02-02,178.787,186.212,178.181,184.742,103167387
2024-02-05,187.026,188.121,184.732,186.561,70087103
2024-02-06,185.745,188.181,185.655,188.171,43751872
2024-02-07,189.502,189.911,187.486,188.281,53759796
2024-02-08,188.256,188.403,186.232,187.196,41207977
2024-02-09,187.763,189.098,187.116,187.962,45368429
2024-02-12,187.529,187.783,185.912,186.271,41979219
2024-02-13,184.897,185.335,182.65,184.17,56796450
2024-02-14,184.449,184.659,181.582,183.284,54888471
2024-02-15,182.687,183.623,180.498,182.996,65743464
2024-02-16,182.558,183.982,180.811,181.453,49987386
2024-02-20,180.936,181.572,179.154,180.706,53918951
2024-02-21,181.086,182.03,179.81,181.463,41725768
2024-02-22,182.617,184.085,181.602,183.503,52539121
2024-02-23,184.14,184.17,181.374,181.662,45332723
2024-02-26,181.384,181.901,179.8,180.309,41060388
2024-02-27,180.249,183.058,178.717,181.772,54575333
2024-02-28,181.652,182.26,179.284,180.567,49185089
2024-02-29,180.418,181.712,178.687,179.9,137327985
2024-03-01,178.707,179.681,176.547,178.816,73910432
2024-03-04,175.322,176.068,172.973,174.277,81894975
2024-03-05,169.958,171.231,168.822,169.322,95581551
2024-03-06,170.256,170.435,167.887,168.326,68911564
2024-03-07,168.356,169.928,167.698,168.206,72103921
2024-03-08,168.206,172.884,168.146,169.928,76627158
2024-03-11,172.127,173.561,171.241,171.939,60423439
2024-03-12,172.336,173.212,170.207,172.415,60107855
2024-03-13,171.959,172.37,169.958,170.325,52736533
2024-03-14,172.097,173.489,171.241,172.187,73257790
2024-03-15,170.365,171.809,169.484,171.809,122327591
2024-03-18,174.745,176.875,172.705,172.904,75961171
2024-03-19,173.521,175.775,172.217,175.252,55475959
2024-03-20,174.894,177.83,174.267,177.83,53675355
2024-03-21,176.218,176.656,170.038,170.564,106682636
2024-03-22,170.953,172.237,169.262,171.47,71496142
2024-03-25,169.763,171.132,168.653,170.048,54544666
2024-03-26,169.202,170.614,168.782,168.912,57659425
2024-03-27,169.609,172.785,169.312,172.495,60557863
2024-03-28,170.943,171.421,169.708,170.674,65982783
2024-04-01,170.385,170.445,168.678,169.232,46458838
2024-04-02,168.286,168.544,167.44,168.046,49562405
2024-04-03,167.996,169.878,167.788,168.852,47916905
2024-04-04,169.489,171.113,168.026,168.026,53957967
2024-04-05,168.792,169.589,168.156,168.782,42303636
2024-04-08,168.236,168.406,167.45,167.659,37602228
2024-04-09,167.906,169.282,167.559,168.872,42651655
2024-04-10,168.006,168.296,166.325,166.991,49944053
2024-04-11,167.549,174.635,167.37,174.217,91500290
2024-04-12,173.441,177.521,173.391,175.72,102150955
2024-04-15,174.536,175.8,171.689,171.879,73878975
2024-04-16,170.943,172.944,167.48,168.584,74059284
2024-04-17,168.812,169.848,167.21,167.21,51141555
2024-04-18,167.24,167.847,165.767,166.255,43326520
2024-04-19,165.429,165.619,163.304,164.156,68087805
2024-04-22,164.738,166.474,163.996,165.061,48343639
2024-04-23,164.573,166.265,164.146,166.115,49771668
2024-04-24,165.757,168.505,165.429,168.226,48479670
2024-04-25,168.727,169.808,167.361,169.092,50797055
2024-04-26,169.082,170.535,168.386,168.505,45050071
2024-04-29,172.555,175.203,172.287,172.685,68491301
2024-04-30,172.515,174.168,169.202,169.529,66246106
2024-05-01,168.782,171.894,168.316,168.505,50621046
2024-05-02,171.699,172.6,170.088,172.217,94659779
2024-05-03,185.768,186.121,181.802,182.518,163994820
2024-05-06,181.496,183.334,179.573,180.856,78940657
2024-05-07,182.588,184.032,180.468,181.542,77670793
2024-05-08,181.991,182.21,180.597,181.881,45269837
2024-05-09,181.702,183.793,181.254,183.703,49214259
2024-05-10,184.28,184.47,181.519,182.436,50930093
2024-05-13,184.814,186.474,184.002,185.657,72286944
2024-05-14,186.882,187.669,185.667,186.802,52569709
2024-05-15,187.281,190.012,186.742,189.085,70636595
2024-05-16,189.832,190.455,189.025,189.205,53022837
2024-05-17,188.875,190.171,188.546,189.234,41421673
2024-05-20,188.691,191.277,188.377,190.4,44510369
2024-05-21,190.45,192.084,190.28,191.706,42451598
2024-05-22,191.621,192.177,189.633,190.26,34764997
2024-05-23,190.34,190.36,185.999,186.254,51177350
2024-05-24,188.188,189.942,187.411,189.343,36449066
2024-05-28,190.869,192.354,188.466,189.353,52455759
2024-05-29,188.975,191.603,188.875,189.652,53246372
2024-05-30,190.121,191.536,189.992,190.649,50115811
2024-05-31,190.799,191.925,189.274,191.606,75410876
2024-06-03,192.254,194.337,191.875,193.38,50248854
2024-06-04,193.983,194.666,192.387,193.699,47630992
2024-06-05,194.746,196.24,194.217,195.214,54338800
2024-06-06,195.03,195.842,193.52,193.829,41320160
2024-06-07,193.998,196.28,193.49,196.23,53282389
2024-06-10,196.24,196.639,191.506,192.473,97588965
2024-06-11,193.001,206.466,192.981,206.457,172952626
2024-06-12,206.675,219.462,206.207,212.357,198800203
2024-06-13,214.021,216.023,210.891,213.522,98191636
2024-06-14,213.134,214.449,210.592,211.778,70358423
2024-06-17,212.655,218.217,212.007,215.945,94043311
2024-06-18,216.861,217.897,212.287,213.572,80211935
2024-06-20,213.214,213.522,208.151,208.978,86462068
2024-06-21,209.685,211.18,206.417,206.795,247249551
2024-06-24,207.024,211.988,205.898,207.443,80998321
2024-06-25,208.449,210.672,207.911,208.369,56904477
2024-06-26,210.791,214.141,209.934,212.535,66435722
2024-06-27,213.971,215.017,211.638,213.382,49939988
2024-06-28,215.048,215.346,209.596,209.914,82820136
2024-07-01,211.38,216.782,211.21,216.023,60605937
2024-07-02,215.426,219.642,214.379,219.532,58241265
2024-07-03,219.263,220.808,218.297,220.808,37495397
2024-07-05,220.908,225.691,220.908,225.582,60615448
2024-07-08,226.329,227.087,222.502,227.057,59284443
2024-07-09,227.166,228.632,225.614,227.914,48331716
2024-07-10,228.532,232.3,228.482,232.2,62838172
2024-07-11,230.614,231.611,225.014,226.808,64928103
2024-07-12,228.153,231.861,227.914,229.767,53224811
2024-07-15,235.688,236.436,232.31,233.615,62841749
2024-07-16,234.212,235.479,231.551,234.034,43379584
2024-07-17,228.682,230.684,225.881,228.113,57538618
2024-07-18,229.509,229.668,221.525,223.429,66256521
2024-07-19,224.067,226.04,222.527,223.559,49316646
2024-07-22,226.25,227.017,222.343,223.21,48363836
2024-07-23,223.614,226.18,221.935,224.256,40094562
2024-07-24,223.25,224.047,216.403,217.808,61985204
2024-07-25,218.197,220.111,213.901,216.762,51563919
2024-07-26,217.967,218.754,215.286,217.23,41741163
2024-07-29,216.233,218.565,215.028,217.509,36433818
2024-07-30,218.456,219.587,215.396,218.067,41783801
2024-07-31,220.698,223.07,219.891,221.336,50204429
2024-08-01,223.619,223.728,216.293,217.629,62711055
2024-08-02,218.416,224.844,216.98,219.124,105923365
2024-08-05,198.423,212.785,195.343,208.569,119950380
2024-08-06,204.613,209.286,200.397,206.536,69894610
2024-08-07,206.207,212.924,205.698,209.117,63729889
2024-08-08,212.396,213.482,208.131,212.595,47319653
2024-08-09,211.39,216.053,211.26,215.516,42343481
2024-08-12,215.596,219.028,215.126,217.052,38111787
2024-08-13,218.529,221.403,218.529,220.784,44252512
2024-08-14,220.086,222.54,219.218,221.233,42052924
2024-08-15,224.107,224.855,222.271,224.226,46516165
2024-08-16,223.428,226.329,223.159,225.554,44437828
2024-08-19,225.224,225.494,222.55,225.394,40777362
2024-08-20,225.274,226.671,224.955,226.013,30365718
2024-08-21,226.022,227.479,224.556,225.903,34841995
2024-08-22,227.29,227.838,223.408,224.037,43791489
2024-08-23,225.163,227.719,223.837,226.342,38762374
2024-08-26,226.262,226.781,223.398,226.681,30669560
2024-08-27,225.499,228.347,224.396,227.529,36013647
2024-08-28,227.42,229.355,225.184,225.993,38135915
2024-08-29,229.595,232.408,228.377,229.285,52020537
2024-08-30,229.684,229.894,226.98,228.497,53107397
2024-09-03,228.048,228.497,220.684,222.281,50301038
2024-09-04,221.173,221.293,217.002,220.365,43936683
2024-09-05,221.138,224.985,221.034,221.892,36695984
2024-09-06,223.458,224.745,219.287,220.335,48529585
2024-09-09,220.335,220.784,216.234,220.425,67327821
2024-09-10,218.439,220.994,216.254,219.627,51704579
2024-09-11,220.969,222.6,217.412,222.171,44685203
2024-09-12,222.011,223.059,219.337,222.281,37580754
2024-09-13,223.089,223.548,221.423,222.011,36847538
2024-09-16,216.064,216.743,213.45,215.845,59488066
2024-09-17,215.276,216.424,214.029,216.314,45619522
2024-09-18,217.072,222.221,217.062,220.205,60026750
2024-09-19,224.496,229.315,224.137,228.367,66928293
2024-09-20,229.465,232.578,227.12,227.699,319381269
2024-09-23,226.841,228.946,225.314,225.973,54265192
2024-09-24,228.143,228.846,225.234,226.871,43651930
2024-09-25,224.436,226.791,223.528,225.873,42401832
2024-09-26,226.801,227.998,224.915,227.02,36717340
2024-09-27,227.958,229.016,226.801,227.29,34100854
2024-09-30,229.535,232.488,229.146,232.488,54913985
2024-10-01,229.016,229.146,223.249,225.713,63424331
2024-10-02,225.394,226.871,222.53,226.282,32952971
2024-10-03,224.646,226.307,222.83,225.174,34119085
2024-10-04,227.4,227.499,223.638,226.302,37427290
2024-10-07,224.007,225.194,220.844,221.203,39592301
2024-10-08,223.807,225.484,222.76,225.274,31925804
2024-10-09,224.735,229.246,224.336,229.036,33665021
2024-10-10,227.28,228.996,226.671,228.537,28245573
2024-10-11,228.796,228.906,226.841,227.05,31829086
2024-10-14,228.198,231.221,228.098,230.792,39969861
2024-10-15,233.097,236.968,231.86,233.336,64893878
2024-10-16,231.091,231.61,229.335,231.271,34157251
2024-10-17,232.917,233.336,230.014,231.64,33066425
2024-10-18,235.661,235.661,233.496,234.484,46533662
2024-10-21,233.935,236.33,233.935,235.961,36334262
2024-10-22,233.371,235.701,232.089,235.342,38932075
2024-10-23,233.566,234.628,227.26,230.253,52402057
2024-10-24,229.475,230.313,227.908,230.064,31177971
2024-10-25,229.236,232.708,229.066,230.902,38887703
2024-10-28,232.808,234.214,232.039,232.887,36166558
2024-10-29,232.588,233.81,231.81,233.157,35495196
2024-10-30,232.099,232.957,229.046,229.595,47174505
2024-10-31,228.836,229.325,224.875,225.414,64511757
2024-11-01,220.48,224.855,219.786,222.42,65420408
2024-11-04,220.505,222.301,219.228,221.522,45043386
2024-11-05,221.308,223.458,220.654,222.959,28173208
2024-11-06,222.121,225.569,220.704,222.231,54681204
2024-11-07,224.132,227.375,224.077,226.98,42230431
2024-11-08,226.921,228.409,226.156,226.711,38370965
2024-11-11,224.753,225.452,221.257,223.984,42051786
2024-11-12,224.303,225.342,223.11,223.984,40442716
2024-11-13,223.764,226.401,222.515,224.873,48619614
2024-11-14,224.773,228.619,224.753,227.969,44973334
2024-11-15,226.151,226.671,224.024,224.753,47976387
2024-11-18,225.003,229.488,224.923,227.77,44735151
2024-11-19,226.731,229.907,226.411,228.029,36251588
2024-11-20,227.81,229.677,225.642,228.748,35208234
2024-11-21,228.629,229.902,225.462,228.269,42154624
2024-11-22,227.81,230.467,227.81,229.618,38210217
2024-11-25,231.206,232.989,229.488,232.614,90251953
2024-11-26,233.074,235.311,233.074,234.802,46036749
2024-11-27,234.207,235.431,233.553,234.672,33535269
2024-11-29,234.547,237.549,233.713,237.069,28512691
2024-12-02,237.009,240.526,236.9,239.327,48190028
2024-12-03,239.547,242.493,238.638,242.384,38903743
2024-12-04,242.603,243.842,240.985,242.743,44432734
2024-12-05,243.722,244.271,241.864,242.773,40077894
2024-12-06,242.638,244.361,241.814,242.573,36911157
2024-12-09,241.564,246.968,241.484,246.479,44698322
2024-12-10,246.619,247.937,245.071,247.498,36955393
2024-12-11,247.688,250.525,245.99,246.219,45255516
2024-12-12,246.619,248.467,245.41,247.688,32813570
2024-12-13,247.543,249.016,245.97,247.857,33191743
2024-12-16,247.718,251.104,247.378,250.764,51751590
2024-12-17,249.805,253.551,249.506,253.202,51412825
2024-12-18,251.883,254.001,247.468,247.778,56836523
2024-12-19,247.228,251.723,246.824,249.516,60949202
2024-12-20,247.768,254.72,245.42,254.211,147657435
2024-12-23,254.49,255.369,253.172,254.99,40903697
2024-12-24,255.209,257.926,255.01,257.916,23260251
2024-12-26,257.906,259.814,257.347,258.736,27292958
2024-12-27,257.547,258.416,252.782,255.309,42401889
2024-12-30,251.953,253.222,250.475,251.923,35596636
2024-12-31,252.163,253.002,249.156,250.145,39524126
